Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,id
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-361,2003,18,377,21,15.5,4.2,2,69,0,16,15,5,2.06,4,3,+1,+0.24,-1.08,5.6,5.0,+0.7,+0.16,-0.48,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-240,1994,25,1974,79,84.4,21.9,23,84,19,2,18,0,1.28,28,29,-1,-0.05,+0.45,33.3,25.0,+8.3,+0.38,+0.48,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-130,1999,24,1680,70,71.8,18.7,20,77,7,4,33,1,1.83,32,18,+14,+0.75,+0.20,35.5,19.9,+15.6,+0.83,+0.48,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-328,1997,10,272,27,11.2,3.0,0,,0,10,27,12,0.60,4,3,+1,+0.33,+0.66,4.0,4.3,-0.3,-0.10,+0.50,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-271,1993,20,1477,74,63.1,16.4,17,83,10,3,21,3,1.35,27,26,+1,+0.06,+0.48,26.1,21.1,+5.0,+0.30,0.00,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-215,2000,1,7,7,0.3,0.1,0,,0,1,7,4,0.00,0,1,-1,-12.86,-12.59,0.2,0.1,0.0,+0.51,+0.68,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,27-029,1995,25,1977,79,84.5,22.0,22,87,18,3,24,0,2.16,49,21,+28,+1.27,+1.03,38.9,22.4,+16.5,+0.75,+0.36,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-083,1994,23,1883,82,80.5,20.9,21,87,12,2,25,0,1.39,37,39,-2,-0.10,+0.10,33.6,32.7,+0.9,+0.04,+0.12,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-333,1996,8,354,44,15.1,3.9,5,63,1,3,13,6,0.88,2,8,-6,-1.53,-1.43,3.3,6.0,-2.7,-0.69,-0.61,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-326,1998,2,73,37,3.1,0.8,1,45,0,1,28,4,0.00,0,2,-2,-2.47,-2.58,0.1,1.2,-1.1,-1.32,-1.41,Matches,86429529
11,Harrison Afful,gh GHA,DF,Charlotte,36-029,1986,15,816,54,33.6,9.1,9,81,2,6,15,12,1.38,14,9,+5,+0.55,+1.28,10.9,10.1,+0.8,+0.09,+0.44,Matches,7d8ede09
12,Samuel Afriyie Owusu,gh GHA,DF,NYCFC,21-252,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches,ea0af15a
13,William Agada,ng NGA,FW,Sporting KC,22-339,1999,5,348,70,14.3,3.9,4,85,0,1,7,1,1.20,10,6,+4,+1.03,+2.03,7.1,3.2,+3.9,+1.30,+1.96,Matches,d2275b1b
14,Oskar Ågren,se SWE,DF,San Jose,23-346,1998,2,159,80,6.8,1.8,2,80,1,0,,20,0.50,1,2,-1,-0.57,-0.11,1.9,2.1,-0.2,-0.13,+0.41,Matches,5ad77e97
15,Daniel Aguirre,us USA,MFFW,LA Galaxy,23-051,1999,9,277,31,12.3,3.1,2,79,1,7,17,10,1.78,8,7,+1,+0.32,+0.23,8.8,4.7,+4.1,+1.32,+1.15,Matches,ecc5063f
16,Ali Ahmed,ca CAN,DFMF,Vancouver,21-316,2000,2,56,28,2.3,0.6,0,,0,2,28,0,1.50,2,1,+1,+1.61,+2.18,1.2,0.4,+0.8,+1.30,+1.65,Matches,540a5be1
17,Arnaud Ake,ci CIV,FW,Nashville,24-143,1998,20,312,16,12.8,3.5,0,,0,20,16,2,1.35,4,6,-2,-0.58,-0.75,5.4,4.5,+0.9,+0.27,+0.01,Matches,3402bb17
18,Tesho Akindele,ca CAN,FW,Orlando City,30-144,1992,20,442,22,18.9,4.9,2,70,0,18,17,2,1.35,5,6,-1,-0.20,+0.08,6.0,8.7,-2.7,-0.57,-0.39,Matches,897304e5
19,Ayo Akinola,ca CAN,FW,Toronto FC,22-214,2000,19,873,46,35.9,9.7,9,70,2,10,25,2,1.00,13,20,-7,-0.72,-0.72,12.8,17.7,-4.9,-0.51,+0.07,Matches,214d2406
20,Jordy Alcivar,ec ECU,MF,Charlotte,23-017,1999,18,978,54,40.2,10.9,10,80,2,8,22,6,1.11,11,18,-7,-0.64,-0.58,10.9,15.4,-4.5,-0.41,-0.35,Matches,6e98c19f
