,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,19-004,2003,19,2,394,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,0.9,0.9,0.9,1.8,0.20,0.21,0.41,0.20,0.41,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-248,1994,26,23,1995,22.2,4,0,4,0,0,7,0,0.18,0.00,0.18,0.18,0.18,2.2,2.2,0.1,2.3,0.10,0.00,0.10,0.10,0.10,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-138,1999,25,21,1770,19.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-336,1997,11,0,292,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.11,0.03,0.14,0.11,0.14,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-279,1993,20,17,1477,16.4,0,2,0,0,0,10,1,0.00,0.12,0.12,0.00,0.12,0.6,0.6,2.9,3.5,0.04,0.18,0.21,0.04,0.21,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-223,2000,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.92,0.00,0.92,0.92,0.92,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,27-037,1995,26,23,2067,23.0,2,2,2,0,0,7,0,0.09,0.09,0.17,0.09,0.17,1.3,1.3,3.5,4.9,0.06,0.15,0.21,0.06,0.21,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-091,1994,24,22,1969,21.9,6,9,4,2,3,5,1,0.27,0.41,0.69,0.18,0.59,6.9,4.6,9.1,13.7,0.32,0.41,0.73,0.21,0.63,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-341,1996,8,5,354,3.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-334,1998,2,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,86429529
11,Harrison Afful,gh GHA,DF,Charlotte,36-037,1986,15,9,816,9.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.04,0.06,0.02,0.06,Matches,7d8ede09
12,William Agada,ng NGA,FW,Sporting KC,22-347,1999,6,5,438,4.9,5,1,5,0,0,2,0,1.03,0.21,1.23,1.03,1.23,4.3,4.3,0.4,4.7,0.88,0.09,0.96,0.88,0.96,Matches,d2275b1b
13,Oskar Ågren,se SWE,DF,San Jose,23-354,1998,3,3,249,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,5ad77e97
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23-059,1999,10,3,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,0.3,0.3,0.7,1.0,0.08,0.18,0.26,0.08,0.26,Matches,ecc5063f
15,Ali Ahmed,ca CAN,DFMF,Vancouver,21-324,2000,2,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.02,0.15,0.13,0.15,Matches,540a5be1
16,Arnaud Ake,ci CIV,FW,Nashville,24-151,1998,20,0,312,3.5,1,0,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.8,0.8,0.5,1.2,0.22,0.13,0.36,0.22,0.36,Matches,3402bb17
17,Tesho Akindele,ca CAN,FW,Orlando City,30-152,1992,21,2,456,5.1,2,0,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,1.4,1.4,0.6,2.0,0.28,0.12,0.39,0.28,0.39,Matches,897304e5
